Reference Area,Time Period,Sex,Value
Eritrea,2012,Female,72.30769
Eritrea,2012,Male,72.32177
Eritrea,2012,Total,72.31944
Eritrea,2011,Female,73.36562
Eritrea,2011,Male,73.81053
Eritrea,2011,Total,73.74462
Eritrea,2010,Female,57.03565
Eritrea,2010,Male,79.54545
Eritrea,2010,Total,75.15551
Eritrea,2009,Female,80.14981
Eritrea,2009,Male,78.02469
Eritrea,2009,Total,78.27225
Eritrea,2007,Female,88.07339
Eritrea,2007,Male,60.41578
Eritrea,2007,Total,62.75728
Eritrea,2006,Female,88.17734
Eritrea,2006,Male,77.71084
Eritrea,2006,Total,78.96288
Eritrea,2005,Female,88.74459
Eritrea,2005,Male,80.64725
Eritrea,2005,Total,81.70045
Eritrea,2004,Female,81.97425
Eritrea,2004,Male,76.13636
Eritrea,2004,Total,76.88498
Eritrea,2003,Female,68.02721
Eritrea,2003,Male,67.19872
Eritrea,2003,Total,67.28571
Eritrea,2002,Female,88.53503
Eritrea,2002,Male,66.76116
Eritrea,2002,Total,68.94133
Eritrea,2001,Female,69.35484
Eritrea,2001,Male,75.1861
Eritrea,2001,Total,74.64366
Eritrea,2000,Female,67.21311
Eritrea,2000,Male,73.94564
Eritrea,2000,Total,73.25484
Ethiopia,2015,Female,100
Ethiopia,2015,Male,100
Ethiopia,2015,Total,100
Ethiopia,2012,Female,60.92655
Ethiopia,2012,Male,90.28871
Ethiopia,2012,Total,86.43491
Ethiopia,2009,Female,51.9084
Ethiopia,2009,Male,78.31296
Ethiopia,2009,Total,74.50454
Ethiopia,2008,Female,47.48932
Ethiopia,2008,Male,63.79532
Ethiopia,2008,Total,61.66667
Fiji,2012,Female,100
Fiji,2012,Male,100
Fiji,2012,Total,100
Fiji,2008,Female,96.1991
Fiji,2008,Male,92.62295
Fiji,2008,Total,94.77409
Georgia,2009,Female,95.21233
Georgia,2009,Male,92.71831
Georgia,2009,Total,94.83919
Georgia,2008,Total,95.25217
Georgia,2000,Female,92.55237
Georgia,2000,Male,94.28633
Georgia,2000,Total,92.97521
Ghana,2016,Female,96.87466
Ghana,2016,Male,85.26705
Ghana,2016,Total,87.89332
Ghana,2015,Female,86.42717
Ghana,2015,Male,81.86521
Ghana,2015,Total,82.87843
Ghana,2014,Female,84.76088
Ghana,2014,Male,80.39239
Ghana,2014,Total,81.35261
Ghana,2013,Female,85.52825
Ghana,2013,Male,80.78277
Ghana,2013,Total,81.81393
Ghana,2012,Female,80.46714
Ghana,2012,Male,77.64864
Ghana,2012,Total,78.28656
Ghana,2011,Female,87.06073
Ghana,2011,Male,81.42388
Ghana,2011,Total,82.63143
Ghana,2010,Female,87.06858
Ghana,2010,Male,81.42546
Ghana,2010,Total,82.63467
Ghana,2009,Female,89.97924
Ghana,2009,Male,83.43344
Ghana,2009,Total,84.77046
Ghana,2008,Female,80.19342
Ghana,2008,Male,78.52292
Ghana,2008,Total,78.86368
Ghana,2007,Female,65.75342
Ghana,2007,Male,84.32153
Ghana,2007,Total,79.67078
Ghana,2006,Female,48.23826
Ghana,2006,Male,73.14515
Ghana,2006,Total,66.93042
Ghana,2005,Total,92.20495
Ghana,2004,Total,84.23791
Ghana,2003,Total,84.23987
Ghana,2002,Female,58.88141
Ghana,2002,Male,52.78895
Ghana,2002,Total,53.80052
Ghana,2001,Female,58.8611
Ghana,2001,Male,52.78599
Ghana,2001,Total,53.79128
Ghana,2000,Female,53.60159
Ghana,2000,Male,46.96264
Ghana,2000,Total,48.06675
Gibraltar,2009,Female,100
Gibraltar,2009,Male,100
Gibraltar,2009,Total,100
Gibraltar,2008,Female,100
Gibraltar,2008,Male,100
Gibraltar,2008,Total,100
Gibraltar,2001,Female,100
Gibraltar,2001,Male,100
Gibraltar,2001,Total,100
Gibraltar,2000,Female,100
Gibraltar,2000,Male,100
Gibraltar,2000,Total,100
Grenada,2015,Female,44.13146
Grenada,2015,Male,36.93694
Grenada,2015,Total,41.66667
Grenada,2014,Female,39.89637
Grenada,2014,Male,40.17857
Grenada,2014,Total,40
Grenada,2003,Female,23.28767
Grenada,2003,Male,43.61702
Grenada,2003,Total,31.25
Guinea,2008,Female,94.31438
Guinea,2008,Male,94.47083
Guinea,2008,Total,94.46242
Guyana,2009,Female,53.48399
Guyana,2009,Male,42.74809
Guyana,2009,Total,49.93695
Guyana,2008,Female,60.87786
Guyana,2008,Male,49.41176
Guyana,2008,Total,57.12452
Guyana,2005,Female,76.01881
Guyana,2005,Male,44.68085
Guyana,2005,Total,64.39842
Guyana,2003,Female,58.59107
Guyana,2003,Male,54.85893
Guyana,2003,Total,57.2697
Honduras,2008,Female,66.29664
Honduras,2008,Male,56.13577
Honduras,2008,Total,61.58083
Honduras,2004,Female,66.93979
Honduras,2004,Male,57.4146
Honduras,2004,Total,62.38157
Iran (Islamic Republic of),2015,Female,100
Iran (Islamic Republic of),2015,Male,100
Iran (Islamic Republic of),2015,Total,100
Iran (Islamic Republic of),2014,Female,100
Iran (Islamic Republic of),2014,Male,100
Iran (Islamic Republic of),2014,Total,100
Iran (Islamic Republic of),2013,Female,100
Iran (Islamic Republic of),2013,Male,100
Iran (Islamic Republic of),2013,Total,100
Iraq,2004,Female,100
Iraq,2004,Male,100
Iraq,2004,Total,100
Iraq,2000,Female,100
Iraq,2000,Male,100
Iraq,2000,Total,100
Jordan,2014,Female,100
Jordan,2014,Male,100
Jordan,2014,Total,100
Jordan,2013,Female,100
Jordan,2013,Male,100
Jordan,2013,Total,100
Kenya,2012,Female,99.73952
Kenya,2012,Male,99.53791
Kenya,2012,Total,99.61365
Kenya,2009,Female,83.35783
Kenya,2009,Male,92.97892
Kenya,2009,Total,89.30569
Kenya,2008,Female,93.15364
Kenya,2008,Male,98.21559
Kenya,2008,Total,96.3293
Kenya,2007,Female,93.4873
Kenya,2007,Male,92.04532
Kenya,2007,Total,92.55751
Kenya,2006,Female,94.85503
Kenya,2006,Male,97.73012
Kenya,2006,Total,96.67022
Kiribati,2008,Female,34.61538
Kiribati,2008,Male,32.87671
Kiribati,2008,Total,33.6
Kiribati,2007,Female,35.2381
Kiribati,2007,Male,35.81081
Kiribati,2007,Total,35.57312
Kiribati,2006,Female,37.2549
Kiribati,2006,Male,35.84906
Kiribati,2006,Total,36.39847
Kiribati,2005,Female,44.24779
Kiribati,2005,Male,42.2619
Kiribati,2005,Total,43.0605
Kuwait,2008,Total,100
Kuwait,2007,Total,100
Kuwait,2005,Female,100
Kuwait,2005,Male,100
Kuwait,2005,Total,100
Kuwait,2004,Female,100
Kuwait,2004,Male,100
Kuwait,2004,Total,100
Kuwait,2001,Female,100
Kuwait,2001,Male,100
Kuwait,2001,Total,100
Kuwait,2000,Female,100
Kuwait,2000,Male,100
Kuwait,2000,Total,100
Lao People's Democratic Republic,2015,Total,98.96877
Lao People's Democratic Republic,2014,Total,99.93638
Lao People's Democratic Republic,2013,Total,99.62496
Lao People's Democratic Republic,2012,Total,99.48173
Lao People's Democratic Republic,2011,Total,99.41682
Lao People's Democratic Republic,2010,Total,99.3547
Lao People's Democratic Republic,2009,Total,99.3357
Lao People's Democratic Republic,2008,Total,89.35106
Lao People's Democratic Republic,2006,Female,92.27659
Lao People's Democratic Republic,2006,Male,90.38276
Lao People's Democratic Republic,2006,Total,91.22178
Lao People's Democratic Republic,2005,Female,91.75214
Lao People's Democratic Republic,2005,Male,88.28677
Lao People's Democratic Republic,2005,Total,89.81359
Lao People's Democratic Republic,2004,Female,95.713
Lao People's Democratic Republic,2004,Male,92.37755
Lao People's Democratic Republic,2004,Total,93.77241
Lao People's Democratic Republic,2003,Female,98.51459
Lao People's Democratic Republic,2003,Male,97.94677
Lao People's Democratic Republic,2003,Total,98.18383
Lao People's Democratic Republic,2002,Female,96.21252
Lao People's Democratic Republic,2002,Male,94.24547
Lao People's Democratic Republic,2002,Total,95.09804
Lao People's Democratic Republic,2001,Female,95.24985
Lao People's Democratic Republic,2001,Male,91.2349
Lao People's Democratic Republic,2001,Total,92.78892
Lao People's Democratic Republic,2000,Female,96.54255
Lao People's Democratic Republic,2000,Male,94.95202
Lao People's Democratic Republic,2000,Total,95.56524
Lebanon,2014,Female,99.36208
Lebanon,2014,Male,98.93851
Lebanon,2014,Total,99.18809
Lebanon,2013,Female,99.29841
Lebanon,2013,Male,98.11619
Lebanon,2013,Total,98.79186
Liberia,2015,Female,58.23529
